Company_Name,Rating_Date,Rating_Agency,Rating,Sector,Industry_Group,Security_Name,TotalAsset ,TotalEquity ,TotalDebt,Revenue,EBITDA,NetIncome,cashFromOperations,FreeCashFlow,quickRatio,currentRatio,cashRatio,debtEquityRatio,debtEbitdaRatio,ebitdaInterestExpense,grossProfitMargin,ebitdaMargin ,netProfitMargin,ROA,ROE,assetTurnover,payablesTurnover,receivablesTurnover,inventoryTurnover
Aetra Air Jakarta PT,11/19/2014,Fitch Nat,A,Utilities,Water,806798Z IJ Equity," 1,679 ", 582 , 786 ," 1,102 ", 392 , 117 , 230 , 221 ,1.2905,1.4148,0.7137,135.1802,2.0035,4.3017,49.4751,35.6147,10.5974,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
Agung Podomoro Land Tbk PT,07/31/2019,PEFIN,BBB,Real Estate,Real Estate,APLN IJ Equity," 29,584 "," 12,129 "," 10,404 "," 5,035 "," 1,564 ", 42 ,-535 ,"-1,823 ",0.2894,1.0495,0.1073,85.7826,6.6512,2.5965,48.0338,31.0663,0.8263,0.4737,0.1426,0.1725,2.9727,3.6604,0.7063
Agung Podomoro Land Tbk PT,09/27/2019,PEFIN,BBB,Real Estate,Real Estate,APLN IJ Equity," 29,584 "," 12,129 "," 10,404 "," 5,035 "," 1,564 ", 42 ,-535 ,"-1,823 ",0.2894,1.0495,0.1073,85.7826,6.6512,2.5965,48.0338,31.0663,0.8263,0.4737,0.1426,0.1725,2.9727,3.6604,0.7063
Agung Podomoro Land Tbk PT,07/26/2011,PEFIN,A,Real Estate,Real Estate,APLN IJ Equity," 7,753 "," 4,213 "," 2,044 "," 1,939 ", 310 , 241 ,"-1,015 ","-1,293 ",1.5606,1.7369,1.2771,48.5213,6.6006,16.9207,31.5442,15.9755,12.4366,9.2486,3.9675,0.319,#N/A N/A,6.7574,#N/A N/A
Agung Podomoro Land Tbk PT,01/13/2016,PEFIN,A,Real Estate,Real Estate,APLN IJ Equity," 24,559 "," 9,073 "," 6,315 "," 5,972 "," 2,046 ", 809 ,-111 ,-875 ,0.5447,1.3892,0.411,69.6042,3.0862,3.1267,51.7601,34.265,13.5468,12.2377,3.3535,0.2476,2.9985,5.4774,0.6735
AKR Corporindo Tbk PT,03/10/2023,PEFIN,AA,Energy,Distribution/Wholesale,AKRA IJ Equity," 27,188 "," 13,155 "," 3,017 "," 47,540 "," 3,506 "," 2,403 "," 2,630 "," 2,340 ",0.9139,1.4043,0.3846,22.9313,0.8604,61.279,8.9449,7.3747,5.0554,23.6619,9.4813,1.8755,5.1747,9.0898,8.8994
AKR Corporindo Tbk PT,10/15/2012,PEFIN,AA,Energy,Distribution/Wholesale,AKRA IJ Equity," 8,418 "," 3,672 "," 1,025 "," 18,806 ", 879 ," 2,309 ", 932 , 505 ,0.9114,1.3541,0.3445,27.9044,1.1653,21.6493,5.5926,4.6754,12.2776,78.7285,28.7118,2.3385,6.8992,10.606,16.334
Alfa Retailindo Tbk PT,06/12/2003,PEFIN,A,Consumer Discretionary,Food,ALFA IJ Equity, 632 , 318 , 54 ," 3,278 ", 48 , 31 , 17 , 2 ,0.3184,1.0467,0.1863,17.114,1.1264,2.8593,5.9697,1.4719,0.933,10.0604,4.9991,5.3582,16.6999,93.8173,20.476
Anabatic Technologies Tbk PT,04/30/2018,PEFIN,BBB,Information Technology,Software,ATIC IJ Equity," 3,258 ", 804 ," 1,388 "," 4,594 ", 251 , 34 ,-212 ,-251 ,0.6211,1.1439,0.148,172.6351,5.5388,2.3518,15.8728,5.454,0.7297,5.4065,1.1151,1.5283,10.3705,4.7502,6.6527
Aneka Tambang Tbk,09/16/2016,PEFIN,BBB,Materials,Mining,ANTM IJ Equity," 30,357 "," 18,317 "," 10,110 "," 10,532 ", 68 ,"-1,441 ", 715 ,"-1,086 ",1.9668,2.5932,1.8636,55.1972,148.8055,0.2762,1.8529,0.6451,-13.6813,-9.4897,-5.5035,0.4023,14.632,13.8972,5.8822
Aneka Tambang Tbk,09/15/2000,PEFIN,AA,Materials,Mining,ANTM IJ Equity," 2,055 "," 1,457 ", 396 , 966 , 393 , 234 , 219 , 74 ,1.3441,2.4596,1.0601,27.1884,1.0092,13.5196,43.308,40.6349,24.2556,16.5966,11.624,0.4792,21.4297,13.5018,3.4865
Aneka Tambang Tbk,09/13/2019,PEFIN,A,Materials,Mining,ANTM IJ Equity," 32,195 "," 18,448 "," 9,921 "," 25,275 "," 2,400 "," 1,636 "," 2,094 ",-50 ,0.9426,1.3201,0.7729,53.7782,4.1337,4.5487,18.4448,9.4959,6.4727,8.8579,5.2596,0.8126,25.3278,26.3978,13.2846
Aneka Tambang Tbk,04/22/2014,PEFIN,A,Materials,Mining,ANTM IJ Equity," 21,865 "," 12,793 "," 6,785 "," 11,298 "," 1,216 ", 410 , 226 ,"-2,454 ",1.0233,1.8364,0.7243,53.0385,5.5798,20.0473,14.3012,10.7633,3.6284,3.1995,1.9721,0.5435,22.1538,7.8594,4.9706
Aneka Tambang Tbk,09/14/2018,PEFIN,A,Materials,Mining,ANTM IJ Equity," 30,014 "," 18,490 "," 9,399 "," 12,654 "," 1,434 ", 137 ," 1,551 ",-801 ,1.1746,1.6213,0.9997,50.8313,6.5526,2.3604,12.9915,11.3357,1.0788,0.7399,0.4551,0.4218,15.6296,14.018,8.3212
Aneka Tambang Tbk,09/14/2015,PEFIN,A,Materials,Mining,ANTM IJ Equity," 22,004 "," 12,050 "," 8,015 "," 9,421 ", 672 ,-744 , 829 ,"-1,239 ",0.9543,1.6421,0.678,66.5164,11.9293,5.3092,8.4215,7.1321,-7.8926,-5.9857,-3.3898,0.4295,12.8681,8.4859,4.1006
Angkasa Pura I PT,09/12/2024,Fitch Nat,WD,Industrials,Engineering&Construction,1435885D IJ Equity," 43,742 "," 10,168 "," 27,798 "," 9,338 "," 4,423 ", 922 ," 3,148 "," 2,702 ",1.9335,2.1848,1.7653,273.3849,6.2848,2.9337,#N/A N/A,47.3669,9.8761,9.4476,2.1731,0.22,#N/A N/A,17.8168,#N/A N/A
Angkasa Pura I PT,07/24/2017,Fitch Nat,AAA,Industrials,Engineering&Construction,1435885D IJ Equity," 23,667 "," 11,997 "," 8,053 "," 6,138 "," 2,409 "," 1,159 "," 2,142 ","-1,528 ",1.4655,1.5715,1.3408,67.1239,3.3435,10.3949,#N/A N/A,39.2395,18.8783,10.0667,5.7382,0.304,0.0411,11.6482,1.0499
Angkasa Pura I PT,03/15/2024,PEFIN,AAA,Industrials,Engineering&Construction,1435885D IJ Equity," 43,742 "," 10,168 "," 27,798 "," 9,338 "," 4,423 ", 922 ," 3,148 "," 2,702 ",1.9335,2.1848,1.7653,273.3849,6.2848,2.9337,#N/A N/A,47.3669,9.8761,9.4476,2.1731,0.22,#N/A N/A,17.8168,#N/A N/A
Angkasa Pura I PT,08/31/2016,PEFIN,AAA,Industrials,Engineering&Construction,1435885D IJ Equity," 16,722 "," 11,029 "," 3,076 "," 5,250 "," 2,001 ", 842 , 858 ,-713 ,0.9368,1.1424,0.7256,27.89,1.5373,8.7935,#N/A N/A,38.1165,16.0305,7.8551,5.1703,0.3225,0.056,9.6382,1.5149
Angkasa Pura I PT,06/13/2024,Fitch Nat,AA *,Industrials,Engineering&Construction,1435885D IJ Equity," 43,742 "," 10,168 "," 27,798 "," 9,338 "," 4,423 ", 922 ," 3,148 "," 2,702 ",1.9335,2.1848,1.7653,273.3849,6.2848,2.9337,#N/A N/A,47.3669,9.8761,9.4476,2.1731,0.22,#N/A N/A,17.8168,#N/A N/A
Angkasa Pura I PT,07/01/2021,Fitch Nat,AA,Industrials,Engineering&Construction,1435885D IJ Equity," 42,577 "," 13,356 "," 23,227 "," 3,619 ",-322 ,"-2,328 ","-3,889 ","-8,271 ",0.4495,0.8146,0.3286,173.9077,#N/A N/A,-0.2582,#N/A N/A,-8.89,-64.3117,-15.8731,-5.4532,0.0848,#N/A N/A,6.5554,#N/A N/A
Angkasa Pura I PT,06/26/2023,Fitch Nat,AA,Industrials,Engineering&Construction,1435885D IJ Equity," 41,135 "," 9,363 "," 26,835 "," 5,963 "," 2,314 ",-745 ," 1,647 "," 1,244 ",0.9728,1.0921,0.7892,286.6035,11.5961,1.4353,#N/A N/A,38.8092,-12.4952,-7.6951,-1.779,0.1424,#N/A N/A,11.1958,#N/A N/A
Angkasa Pura I PT,06/28/2022,Fitch Nat,AA,Industrials,Engineering&Construction,1435885D IJ Equity," 42,629 "," 10,009 "," 27,636 "," 3,206 ",-691 ,"-3,273 ","-1,609 ","-3,399 ",0.441,0.7689,0.3181,276.0957,#N/A N/A,-0.4407,#N/A N/A,-21.5586,-102.102,-28.026,-7.6827,0.0752,#N/A N/A,5.8244,#N/A N/A
Angkasa Pura I PT,04/08/2020,Fitch Nat,AA,Industrials,Engineering&Construction,1435885D IJ Equity," 42,787 "," 15,981 "," 20,416 "," 8,632 "," 3,769 "," 1,451 "," 1,549 ","-8,047 ",1.0847,1.3252,0.9993,127.7562,5.417,4.3977,#N/A N/A,43.664,16.8146,9.3569,3.9017,0.232,#N/A N/A,16.6363,#N/A N/A
Angkasa Pura I PT,06/10/2021,PEFIN,AA,Industrials,Engineering&Construction,1435885D IJ Equity," 42,577 "," 13,356 "," 23,227 "," 3,619 ",-322 ,"-2,328 ","-3,889 ","-8,271 ",0.4495,0.8146,0.3286,173.9077,#N/A N/A,-0.2582,#N/A N/A,-8.89,-64.3117,-15.8731,-5.4532,0.0848,#N/A N/A,6.5554,#N/A N/A
Angkasa Pura II PT Persero,03/19/2018,Fitch Nat,WD,Industrials,Engineering&Construction,1310910D IJ Equity," 32,652 "," 22,038 "," 6,333 "," 8,110 "," 3,639 "," 2,010 "," 2,632 ","-2,088 ",1.6745,1.7932,1.476,28.7356,1.7404,12.6571,#N/A N/A,44.8647,24.7797,9.5781,6.6281,0.2675,#N/A N/A,10.0019,#N/A N/A
Angkasa Pura II PT Persero,04/21/2016,Fitch Nat,AAA,Industrials,Engineering&Construction,1310910D IJ Equity," 20,271 "," 16,236 "," 1,198 "," 5,644 "," 2,845 "," 1,687 "," 2,445 ",-663 ,1.4969,1.7588,1.2809,7.3766,0.421,1969.5927,#N/A N/A,50.3987,29.8951,11.6386,9.3214,0.3118,#N/A N/A,11.8809,#N/A N/A
Angkasa Pura II PT Persero,09/11/2023,PEFIN,AAA,Industrials,Engineering&Construction,1310910D IJ Equity," 42,354 "," 17,518 "," 19,665 "," 8,418 "," 2,831 ", 84 , 997 ,-254 ,0.5781,0.6509,0.4114,112.2546,6.9451,2.5079,#N/A N/A,33.6348,0.9946,0.4807,0.1991,0.2002,#N/A N/A,6.6382,#N/A N/A
Angkasa Pura II PT Persero,04/25/2016,PEFIN,AAA,Industrials,Engineering&Construction,1310910D IJ Equity," 20,271 "," 16,236 "," 1,198 "," 5,644 "," 2,845 "," 1,687 "," 2,445 ",-663 ,1.4969,1.7588,1.2809,7.3766,0.421,1969.5927,#N/A N/A,50.3987,29.8951,11.6386,9.3214,0.3118,#N/A N/A,11.8809,#N/A N/A
Angkasa Pura II PT Persero,06/17/2021,PEFIN,AA,Industrials,Engineering&Construction,1310910D IJ Equity," 44,436 "," 21,318 "," 16,760 "," 5,844 ", 463 ,"-2,434 ","-1,242 ","-3,615 ",0.6578,0.7974,0.3443,78.6209,36.2102,0.4209,#N/A N/A,7.9206,-41.6431,-10.7913,-5.5036,0.1322,#N/A N/A,3.2726,#N/A N/A
Apexindo Pratama Duta Tbk PT,06/01/2010,PEFIN,A,Energy,Oil&Gas,APEX IJ Equity," 5,139 "," 2,577 "," 1,982 "," 2,358 "," 1,313 ", 157 , 483 , 128 ,0.9592,1.5421,0.5801,76.9084,1.6546,5.5926,47.1607,55.6874,6.6505,5.7098,2.9895,0.4495,10.7062,5.3131,6.2386
Apexindo Pratama Duta Tbk PT,01/30/2007,PEFIN,A,Energy,Oil&Gas,APEX IJ Equity," 4,044 "," 1,938 ", 767 ," 1,436 ", 596 , 381 , 472 , 244 ,2.8117,4.6311,1.2056,39.5936,1.2866,12.8305,34.1552,41.5251,26.5184,21.7328,10.5029,0.3961,11.9323,5.1164,8.7226
Apexindo Pratama Duta Tbk PT,01/27/2005,PEFIN,A,Energy,Oil&Gas,APEX IJ Equity," 2,619 "," 1,158 ", 557 ," 1,021 ", 335 ,-37 , 275 , 185 ,0.7917,1.8063,0.1939,48.1031,1.6608,3.7493,23.758,32.8346,-3.5771,-3.1126,-1.3951,0.39,7.8562,5.0767,6.8811
Apexindo Pratama Duta Tbk PT,02/15/2008,PEFIN,A,Energy,Oil&Gas,APEX IJ Equity," 4,598 "," 2,201 "," 1,802 "," 1,828 ", 875 , 313 , 612 ,-670 ,1.801,2.5978,0.8883,81.8757,2.004,6.7974,38.1215,47.8699,17.1493,15.252,7.3054,0.426,14.2335,5.0367,8.6968
Arkora Hydro Tbk PT,07/11/2023,PEFIN,A,Utilities,Energy-Alternate Sources,ARKO IJ Equity, 948 , 400 , 452 , 248 , 106 , 53 , 86 , 84 ,0.6416,1.1365,0.5765,112.9761,4.2564,2.0874,51.2817,42.8323,21.2439,18.5151,6.4355,0.3029,#N/A N/A,19.8914,#N/A N/A
Arpeni Pratama Ocean Line Tbk PT,06/04/2012,PEFIN,WR,Industrials,Transportation,APOL IJ Equity," 4,266 ","-2,824 "," 5,225 "," 1,301 ","-1,769 ","-2,070 ", 96 ,-470 ,0.144,0.2556,0.041,#N/A N/A,#N/A N/A,-3.5256,-34.9148,-135.9883,-159.1521,#N/A N/A,-42.3732,0.2662,5.0233,3.6366,56.1623
Arpeni Pratama Ocean Line Tbk PT,01/14/2010,PEFIN,SD,Industrials,Transportation,APOL IJ Equity," 6,772 ", 812 ," 4,323 "," 1,718 ", 368 ,-671 , 290 ,-432 ,0.4761,0.5975,0.0467,532.6759,11.7392,0.9639,17.2172,21.4417,-39.0431,-56.3232,-9.535,0.2442,6.8923,1.2848,44.7916
Arpeni Pratama Ocean Line Tbk PT,04/28/2010,PEFIN,SD,Industrials,Transportation,APOL IJ Equity," 6,772 ", 812 ," 4,323 "," 1,718 ", 368 ,-671 , 290 ,-432 ,0.4761,0.5975,0.0467,532.6759,11.7392,0.9639,17.2172,21.4417,-39.0431,-56.3232,-9.535,0.2442,6.8923,1.2848,44.7916
Arpeni Pratama Ocean Line Tbk PT,11/16/2009,PEFIN,BBB,Industrials,Transportation,APOL IJ Equity," 7,294 "," 1,638 "," 4,541 "," 2,570 ", 942 , 10 , 436 ,-845 ,1.2037,1.2757,0.45,277.226,4.8186,3.2046,32.8132,36.6649,0.3858,0.639,0.1622,0.4205,10.8357,2.1507,39.1549
Arpeni Pratama Ocean Line Tbk PT,12/17/2009,PEFIN,BB,Industrials,Transportation,APOL IJ Equity," 7,294 "," 1,638 "," 4,541 "," 2,570 ", 942 , 10 , 436 ,-845 ,1.2037,1.2757,0.45,277.226,4.8186,3.2046,32.8132,36.6649,0.3858,0.639,0.1622,0.4205,10.8357,2.1507,39.1549
Arpeni Pratama Ocean Line Tbk PT,08/22/2007,PEFIN,A,Industrials,Transportation,APOL IJ Equity," 3,703 "," 1,271 "," 2,198 "," 1,355 ", 502 , 194 , 100 ,-519 ,1.9497,2.0478,0.7797,172.9699,4.3766,2.8857,30.2154,37.0793,14.3183,16.2888,6.0873,0.4251,12.8677,2.3361,30.9163
Arpeni Pratama Ocean Line Tbk PT,07/21/2009,PEFIN,A,Industrials,Transportation,APOL IJ Equity," 7,294 "," 1,638 "," 4,541 "," 2,570 ", 942 , 10 , 436 ,-845 ,1.2037,1.2757,0.45,277.226,4.8186,3.2046,32.8132,36.6649,0.3858,0.639,0.1622,0.4205,10.8357,2.1507,39.1549
Asahimas Flat Glass Tbk PT,02/01/2018,PEFIN,A,Industrials,Building Materials,AMFG IJ Equity," 6,268 "," 3,549 "," 1,493 "," 3,886 ", 463 , 39 , 299 ,-719 ,0.7162,2.0095,0.3473,42.0654,3.2251,14.5758,15.1226,11.9122,0.9926,1.0791,0.6552,0.6601,10.8861,10.7025,3.1383
Astra Agro Lestari Tbk PT,03/12/2003,PEFIN,A,Consumer Staples,Agriculture,AALI IJ Equity," 2,611 "," 1,348 ", 911 ," 2,031 ", 722 , 229 , 651 , 509 ,0.613,0.9882,0.4951,67.5902,1.2618,4.6892,39.7127,35.5519,11.2971,19.4664,9.1362,0.8087,14.242,48.2548,9.3478
Astra Agro Lestari Tbk PT,02/18/2004,PEFIN,A,Consumer Staples,Agriculture,AALI IJ Equity," 2,845 "," 1,563 ", 709 ," 2,543 ", 907 , 281 , 604 , 457 ,0.8576,1.2834,0.6995,45.3429,0.7812,6.7779,39.1032,35.673,11.0359,19.8875,10.2886,0.9323,16.7546,37.713,9.3487
Astra Graphia Tbk PT,10/26/2007,PEFIN,A,Industrials,Office/Business Equip,ASGR IJ Equity, 585 , 296 , 117 , 619 , 141 , 56 , 135 , 79 ,1.6379,2.4253,0.9935,39.6235,0.8341,8.9084,37.7767,22.7121,8.9761,19.1331,10.0694,1.1218,5.1654,6.8731,4.352
Astra Graphia Tbk PT,08/14/2003,PEFIN,A,Industrials,Office/Business Equip,ASGR IJ Equity, 723 , 319 , 243 , 829 , 139 , 72 , 158 , 69 ,1.6547,2.7,0.7469,76.0642,1.748,7.3245,30.9619,16.7367,8.6484,25.4832,9.1941,1.0631,12.4639,7.3735,4.3206
Astra International Tbk PT,10/25/2002,PEFIN,CCC,Industrials,Retail,ASII IJ Equity," 26,574 "," 4,550 "," 16,506 "," 29,235 "," 3,406 ", 845 ," 2,482 "," 1,476 ",0.5549,0.9824,0.3957,362.7391,4.8466,2.9373,19.32,11.6492,2.8887,39.5389,3.1608,1.0942,9.5388,17.3332,7.7751
Astra International Tbk PT,07/14/2003,PEFIN,BBB,Industrials,Retail,ASII IJ Equity," 26,186 "," 8,921 "," 11,954 "," 30,267 "," 3,649 "," 3,637 "," 3,278 "," 2,274 ",0.8451,1.3113,0.6595,133.9975,3.2761,4.3421,22.0097,12.056,12.0152,80.2305,13.7857,1.1473,11.1349,19.336,8.4008
Astra International Tbk PT,01/13/2003,PEFIN,B,Industrials,Retail,ASII IJ Equity," 26,186 "," 8,921 "," 11,954 "," 30,267 "," 3,649 "," 3,637 "," 3,278 "," 2,274 ",0.8451,1.3113,0.6595,133.9975,3.2761,4.3421,22.0097,12.056,12.0152,80.2305,13.7857,1.1473,11.1349,19.336,8.4008
Astra International Tbk PT,09/15/2000,PEFIN,B,Industrials,Retail,ASII IJ Equity," 22,204 "," 3,634 "," 15,321 "," 14,853 "," 2,421 "," 1,487 "," 4,474 "," 4,441 ",0.7241,1.0703,0.5851,421.5673,6.3289,1.7522,22.2036,16.2989,10.0137,146.5331,6.4344,0.6426,4.5753,7.8413,6.1669
Astra International Tbk PT,01/29/2004,PEFIN,A,Industrials,Retail,ASII IJ Equity," 27,404 "," 13,506 "," 8,704 "," 31,513 "," 4,161 "," 4,422 "," 3,151 "," 1,980 ",0.8761,1.1925,0.6836,64.4439,2.0916,6.3428,24.369,13.2049,14.031,48.5641,16.5015,1.1761,13.1452,21.2202,10.9571
Astra Otoparts Tbk PT,07/20/2016,Fitch Nat,AA,Consumer Discretionary,Auto Parts&Equipment,AUTO IJ Equity," 14,339 "," 10,143 "," 1,439 "," 11,724 ", 823 , 319 , 929 , 191 ,0.6976,1.3229,0.2697,14.1817,1.7486,4.8576,14.7626,7.017,2.7173,3.479,2.2179,0.8162,6.8476,7.2592,5.7631
Astra Otoparts Tbk PT,07/20/2016,Fitch Nat,AA,Consumer Discretionary,Auto Parts&Equipment,AUTO IJ Equity," 14,339 "," 10,143 "," 1,439 "," 11,724 ", 823 , 319 , 929 , 191 ,0.6976,1.3229,0.2697,14.1817,1.7486,4.8576,14.7626,7.017,2.7173,3.479,2.2179,0.8162,6.8476,7.2592,5.7631
Atlas Resources Tbk PT,06/06/2012,PEFIN,A,Energy,Coal,ARII IJ Equity," 2,347 "," 1,425 ", 611 , 799 , 647 , 27 ,-187 ,-436 ,1.174,1.5324,0.7859,42.8672,0.9064,17.4336,29.8017,80.934,3.3761,3.4008,1.9407,0.5748,13.4023,6.7429,7.9915
Bakrie Telecom Tbk PT,09/07/2012,PEFIN,WR,Communication Services,Telecommunications,BTEL IJ Equity," 12,213 "," 4,369 "," 5,742 "," 2,591 "," 1,148 ",-782 , 792 ,-642 ,0.0934,0.3208,0.0574,131.4417,5.0009,1.5039,#N/A N/A,44.3174,-30.2004,-16.3636,-6.3705,0.2109,#N/A N/A,24.8564,#N/A N/A
Bakrie Telecom Tbk PT,03/05/2012,PEFIN,BBB,Communication Services,Telecommunications,BTEL IJ Equity," 12,213 "," 4,369 "," 5,742 "," 2,591 "," 1,148 ",-782 , 792 ,-642 ,0.0934,0.3208,0.0574,131.4417,5.0009,1.5039,#N/A N/A,44.3174,-30.2004,-16.3636,-6.3705,0.2109,#N/A N/A,24.8564,#N/A N/A
Bakrie Telecom Tbk PT,07/05/2011,PEFIN,BBB,Communication Services,Telecommunications,BTEL IJ Equity," 12,353 "," 5,195 "," 5,455 "," 2,765 "," 1,335 ", 10 , 826 ,"-1,061 ",0.4033,0.8162,0.3451,105.0156,4.085,2.8331,#N/A N/A,48.2969,0.3608,0.195,0.0839,0.2326,#N/A N/A,28.108,#N/A N/A
Bakrie Telecom Tbk PT,05/29/2012,PEFIN,BB,Communication Services,Telecommunications,BTEL IJ Equity," 12,213 "," 4,369 "," 5,742 "," 2,591 "," 1,148 ",-782 , 792 ,-642 ,0.0934,0.3208,0.0574,131.4417,5.0009,1.5039,#N/A N/A,44.3174,-30.2004,-16.3636,-6.3705,0.2109,#N/A N/A,24.8564,#N/A N/A
Bakrie Telecom Tbk PT,07/06/2007,PEFIN,A,Communication Services,Telecommunications,BTEL IJ Equity," 2,217 "," 1,495 ", 473 , 608 , 269 , 73 , 184 ,-531 ,1.2181,1.7609,0.9818,31.642,1.7623,3.3387,#N/A N/A,44.1682,11.9555,6.2251,3.8869,0.3251,#N/A N/A,11.0733,#N/A N/A
Bakrieland Development Tbk PT,02/14/2008,PEFIN,BBB,Real Estate,Real Estate,ELTY IJ Equity," 5,708 "," 4,200 ", 395 , 782 , 191 , 134 ,"-1,679 ","-1,880 ",1.5256,3.1293,1.1111,9.3972,2.0694,56.0002,41.0612,24.3839,17.1569,4.9227,3.3117,0.193,4.0851,2.561,0.3151
Bakrieland Development Tbk PT,04/05/2012,PEFIN,BBB,Real Estate,Real Estate,ELTY IJ Equity," 17,708 "," 10,902 "," 4,833 "," 2,017 ", 422 ,-19 ,"-1,269 ","-1,605 ",0.4076,1.296,0.139,44.329,11.4573,1.861,47.4991,20.9092,-0.9496,-0.2341,-0.1102,0.116,2.8755,1.728,0.6278
Bakrieland Development Tbk PT,06/13/2011,PEFIN,BBB,Real Estate,Real Estate,ELTY IJ Equity," 17,064 "," 10,481 "," 4,389 "," 1,368 ", 348 , 179 ,"-2,209 ","-3,143 ",1.2306,2.425,0.7178,41.8762,12.6155,2.6933,48.9394,25.4413,13.0674,2.8222,1.2472,0.0954,0.9679,1.3322,0.429
Bakrieland Development Tbk PT,01/22/2008,PEFIN,BBB,Real Estate,Real Estate,ELTY IJ Equity," 5,708 "," 4,200 ", 395 , 782 , 191 , 134 ,"-1,679 ","-1,880 ",1.5256,3.1293,1.1111,9.3972,2.0694,56.0002,41.0612,24.3839,17.1569,4.9227,3.3117,0.193,4.0851,2.561,0.3151
Bakrieland Development Tbk PT,08/16/2012,PEFIN,BB,Real Estate,Real Estate,ELTY IJ Equity," 17,708 "," 10,902 "," 4,833 "," 2,017 ", 422 ,-19 ,"-1,269 ","-1,605 ",0.4076,1.296,0.139,44.329,11.4573,1.861,47.4991,20.9092,-0.9496,-0.2341,-0.1102,0.116,2.8755,1.728,0.6278
